job_id,release_time,deadline,origin,destination,priority
J001,10800,11700,L12,L10,1
J002,10800,11700,L12,L10,1
J003,10800,11700,L12,L10,1
J004,11700,12600,L10,L06,2
J005,11700,12600,L10,L06,2
J006,11700,12600,L10,L06,2
J007,11730,12600,L10,L07,2
J008,12600,14400,L02,L10,2
J009,12600,14400,L02,L10,2
J010,12600,14400,L02,L10,2
J011,12600,14400,L02,L10,2
J012,12600,14400,L02,L10,2
J013,12600,14400,L02,L10,2
J014,13500,14400,L01,L10,2
J015,13500,14400,L01,L10,2
J016,14400,14700,L11,L08,2
J017,14400,14700,L11,L08,2
J018,14400,16200,L08,L13,2
J019,14400,16200,L08,L13,2
J020,14400,16200,L08,L13,2
J021,14400,16200,L08,L13,2
J022,14400,16200,L08,L13,2
J023,14400,14700,L12,L08,1
J024,14400,14700,L12,L08,1
J025,14400,14700,L12,L08,1
J026,15900,16800,L10,L06,2
J027,15930,16800,L10,L07,2
J028,16200,17100,L15,L10,2
J029,16200,17100,L15,L10,2
J030,16200,17100,L15,L10,2
J031,16200,17100,L15,L10,2
J032,16200,17100,L15,L10,2
J033,16200,19800,L02,L08,2
J034,16200,19800,L02,L08,2
J035,16200,19800,L02,L08,2
J036,16200,19800,L01,L08,2
J037,16200,19800,L01,L08,2
J038,16200,19800,L01,L08,2
J039,19800,21600,L08,L05,1
J040,19800,21600,L08,L05,1
J041,19800,21600,L08,L05,1
J042,19800,21600,L08,L05,1
J043,20700,21600,L15,L10,2
J044,20700,21600,L15,L10,2
J045,20700,21600,L15,L10,2
J046,20700,21600,L15,L10,2
J047,20700,21600,L12,L08,1
J048,20700,21600,L12,L08,1
J049,20700,21600,L12,L08,1
J050,21600,22500,L08,L06,2
J051,21600,22500,L08,L06,2
J052,21600,22500,L08,L06,2
J053,21630,22500,L08,L07,2
J054,22500,24300,L02,L08,2
J055,22500,24300,L02,L08,2
J056,22500,24300,L02,L08,2
J057,22500,24300,L02,L08,2
J058,22500,24300,L02,L08,2
J059,22500,24300,L02,L08,2
J060,23400,24300,L01,L08,2
J061,23400,24300,L01,L08,2
J062,24300,24600,L11,L10,2
J063,24300,24600,L11,L10,2
J064,24300,26100,L10,L13,2
J065,24300,26100,L10,L13,2
J066,24300,26100,L10,L13,2
J067,24300,26100,L10,L13,2
J068,24300,26100,L10,L13,2
J069,24300,24600,L12,L10,1
J070,24300,24600,L12,L10,1
J071,24300,24600,L12,L10,1
J072,25800,26700,L08,L06,2
J073,25830,26700,L08,L07,2
J074,26100,27000,L15,L08,2
J075,26100,27000,L15,L08,2
J076,26100,27000,L15,L08,2
J077,26100,27000,L15,L08,2
J078,26100,27000,L15,L08,2
J079,26100,29700,L02,L10,2
J080,26100,29700,L02,L10,2
J081,26100,29700,L02,L10,2
J082,26100,29700,L01,L10,2
J083,26100,29700,L01,L10,2
J084,26100,29700,L01,L10,2
J085,29700,31500,L10,L05,1
J086,29700,31500,L10,L05,1
J087,29700,31500,L10,L05,1
J088,29700,31500,L10,L05,1
J089,30600,31500,L15,L08,2
J090,30600,31500,L15,L08,2
J091,30600,31500,L15,L08,2
J092,30600,31500,L15,L08,2
J093,30600,31500,L12,L10,1
J094,30600,31500,L12,L10,1
J095,30600,31500,L12,L10,1
J096,31500,32400,L10,L06,2
J097,31500,32400,L10,L06,2
J098,31500,32400,L10,L06,2
J099,31530,32400,L10,L07,2
J100,32400,34200,L02,L10,2
J101,32400,34200,L02,L10,2
J102,32400,34200,L02,L10,2
J103,32400,34200,L02,L10,2
J104,32400,34200,L02,L10,2
J105,32400,34200,L02,L10,2
J106,33300,34200,L01,L10,2
J107,33300,34200,L01,L10,2
J108,34200,34500,L11,L08,2
J109,34200,34500,L11,L08,2
J110,34200,36000,L08,L14,2
J111,34200,36000,L08,L14,2
J112,34200,36000,L08,L14,2
J113,34200,36000,L08,L14,2
J114,34200,36000,L08,L14,2
J115,34200,34500,L12,L08,1
J116,34200,34500,L12,L08,1
J117,34200,34500,L12,L08,1
J118,35700,36600,L10,L06,2
J119,35730,36600,L10,L07,2
J120,36000,36900,L15,L10,2
J121,36000,36900,L15,L10,2
J122,36000,36900,L15,L10,2
J123,36000,36900,L15,L10,2
J124,36000,36900,L15,L10,2
J125,40500,41400,L15,L10,2
J126,40500,41400,L15,L10,2
J127,40500,41400,L15,L10,2
J128,40500,41400,L15,L10,2
J129,44100,44400,L11,L10,2
J130,44100,44400,L11,L10,2
