job_id,release_time,deadline,origin,destination,priority
J001,26100,29700,L01,L10,2
J002,29700,31500,L10,L05,1
J003,29700,31500,L10,L05,1
J004,29700,31500,L10,L05,1
J005,29700,31500,L10,L05,1
J006,30600,31500,L15,L08,2
J007,30600,31500,L15,L08,2
J008,30600,31500,L15,L08,2
J009,30600,31500,L15,L08,2
J010,31500,32400,L10,L06,2
J011,31500,32400,L10,L06,2
J012,31500,32400,L10,L06,2
J013,31530,32400,L10,L07,2
J014,32400,34200,L02,L10,2
J015,32400,34200,L02,L10,2
J016,32400,34200,L02,L10,2
J017,32400,34200,L02,L10,2
J018,32400,34200,L02,L10,2
J019,32400,34200,L02,L10,2
J020,33300,34200,L01,L10,2
J021,33300,34200,L01,L10,2
J022,34200,34500,L11,L08,2
J023,34200,34500,L11,L08,2
J024,34200,36000,L08,L14,2
J025,34200,36000,L08,L14,2
J026,34200,36000,L08,L14,2
J027,34200,36000,L08,L14,2
J028,34200,36000,L08,L14,2
J029,34200,36000,L08,L14,2
J030,34200,36000,L08,L14,2
J031,34200,36000,L08,L14,2
J032,34200,34500,L12,L08,1
J033,34200,34500,L12,L08,1
J034,35700,36600,L10,L06,2
J035,35730,36600,L10,L07,2
J036,36000,36900,L15,L10,2
J037,36000,36900,L15,L10,2
J038,36000,36900,L15,L10,2
J039,36000,36900,L15,L10,2
J040,36000,36900,L15,L10,2
J041,40500,41400,L15,L10,2
J042,40500,41400,L15,L10,2
J043,40500,41400,L15,L10,2
J044,40500,41400,L15,L10,2
J045,44100,44400,L11,L10,2
J046,44100,44400,L11,L10,2
J047,44100,45900,L10,L14,2
J048,44100,45900,L10,L14,2
J049,44100,45900,L10,L14,2
J050,44100,45900,L10,L14,2
