job_id,release_time,deadline,origin,destination,priority
J001,0,1800,L08,L05,1
J002,0,1800,L08,L05,1
J003,0,1800,L08,L05,1
J004,0,1800,L08,L05,1
J005,900,1800,L12,L08,1
J006,900,1800,L12,L08,1
J007,900,1800,L12,L08,1
J008,1800,2700,L08,L06,2
J009,1800,2700,L08,L06,2
J010,1800,2700,L08,L06,2
J011,1830,2700,L08,L07,2
J012,2700,4500,L02,L08,2
J013,2700,4500,L02,L08,2
J014,2700,4500,L02,L08,2
J015,2700,4500,L02,L08,2
J016,2700,4500,L02,L08,2
J017,2700,4500,L02,L08,2
J018,3600,4500,L01,L08,2
J019,3600,4500,L01,L08,2
J020,6000,6900,L08,L06,2
J021,6030,6900,L08,L07,2
J022,6300,7200,L15,L08,2
J023,6300,7200,L15,L08,2
J024,6300,7200,L15,L08,2
J025,6300,7200,L15,L08,2
J026,6300,7200,L15,L08,2
J027,6300,9900,L02,L10,2
J028,6300,9900,L02,L10,2
J029,6300,9900,L02,L10,2
J030,6300,9900,L01,L10,2
J031,6300,9900,L01,L10,2
J032,6300,9900,L01,L10,2
J033,9900,11700,L10,L05,1
J034,9900,11700,L10,L05,1
J035,9900,11700,L10,L05,1
J036,9900,11700,L10,L05,1
J037,10800,11700,L15,L08,2
J038,10800,11700,L15,L08,2
J039,10800,11700,L15,L08,2
J040,10800,11700,L15,L08,2
J041,10800,11700,L12,L10,1
J042,10800,11700,L12,L10,1
J043,10800,11700,L12,L10,1
J044,11700,12600,L10,L06,2
J045,11700,12600,L10,L06,2
J046,11700,12600,L10,L06,2
J047,11730,12600,L10,L07,2
J048,12600,14400,L02,L10,2
J049,12600,14400,L02,L10,2
J050,12600,14400,L02,L10,2
J051,12600,14400,L02,L10,2
J052,12600,14400,L02,L10,2
J053,12600,14400,L02,L10,2
J054,13500,14400,L01,L10,2
J055,13500,14400,L01,L10,2
J056,14400,14700,L11,L08,2
J057,14400,14700,L11,L08,2
J058,14400,16200,L08,L13,2
J059,14400,16200,L08,L13,2
J060,14400,16200,L08,L13,2
J061,14400,16200,L08,L13,2
J062,14400,16200,L08,L13,2
J063,14400,14700,L12,L08,1
J064,14400,14700,L12,L08,1
J065,14400,14700,L12,L08,1
J066,15900,16800,L10,L06,2
J067,15930,16800,L10,L07,2
J068,16200,17100,L15,L10,2
J069,16200,17100,L15,L10,2
J070,16200,17100,L15,L10,2
J071,16200,17100,L15,L10,2
J072,16200,17100,L15,L10,2
J073,16200,19800,L02,L08,2
J074,16200,19800,L02,L08,2
J075,16200,19800,L02,L08,2
J076,16200,19800,L01,L08,2
J077,16200,19800,L01,L08,2
J078,16200,19800,L01,L08,2
J079,19800,21600,L08,L05,1
J080,19800,21600,L08,L05,1
J081,19800,21600,L08,L05,1
J082,19800,21600,L08,L05,1
J083,20700,21600,L15,L10,2
J084,20700,21600,L15,L10,2
J085,20700,21600,L15,L10,2
J086,20700,21600,L15,L10,2
J087,20700,21600,L12,L08,1
J088,20700,21600,L12,L08,1
J089,20700,21600,L12,L08,1
J090,21600,22500,L08,L06,2
J091,21600,22500,L08,L06,2
J092,21600,22500,L08,L06,2
J093,21630,22500,L08,L07,2
J094,22500,24300,L02,L08,2
J095,22500,24300,L02,L08,2
J096,22500,24300,L02,L08,2
J097,22500,24300,L02,L08,2
J098,22500,24300,L02,L08,2
J099,22500,24300,L02,L08,2
J100,23400,24300,L01,L08,2
J101,23400,24300,L01,L08,2
J102,24300,24600,L11,L10,2
J103,24300,24600,L11,L10,2
J104,24300,26100,L10,L13,2
J105,24300,26100,L10,L13,2
J106,24300,26100,L10,L13,2
J107,24300,26100,L10,L13,2
J108,24300,26100,L10,L13,2
J109,24300,24600,L12,L10,1
J110,24300,24600,L12,L10,1
